Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,cuisine_count,is_multi_cuisine,log_votes,cost_per_person,has_both_services,country_Australia,country_Brazil,country_Canada,country_India,country_Indonesia,country_New Zealand,country_Philippines,country_Qatar,country_Singapore,country_South Africa,country_Sri Lanka,country_Turkey,country_UAE,country_United Kingdom,country_United States,cuisine_freq_enc,city_freq_enc
850,0,0,3,4.0,72,2,1,4.290459441148391,425.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.02944752127515872,0.00027016074564365796
1200,1,0,3,4.5,211,1,0,5.356586274672012,600.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0008104822369309739,0.00013508037282182898
600,0,0,2,4.5,118,3,1,4.77912349311153,300.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.07415912467918412,0.0005403214912873159
1500,1,0,4,4.4,392,4,1,5.973809611869261,750.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.07415912467918412,0.0005403214912873159
3000,1,0,4,4.7,535,4,1,6.284134161070802,1500.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.006483857895447791,0.0005403214912873159
1800,1,0,4,4.5,618,4,1,6.428105272684596,900.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.03647170066189383,0.0005403214912873159
55,0,0,2,3.0,6,2,1,1.9459101490553132,27.5,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06470349858165608,0.002566527083614751
30,0,0,1,3.8,9,1,0,2.302585092994046,15.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07415912467918412,0.002566527083614751
45,0,0,2,3.7,11,1,0,2.4849066497880004,22.5,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.058354721059030126,0.002566527083614751
60,0,0,3,3.8,11,1,0,2.4849066497880004,30.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
50,0,0,2,3.2,11,1,0,2.4849066497880004,25.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.025935431581791166,0.002566527083614751
80,0,0,3,3.1,10,1,0,2.3978952727983707,40.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.009590706470349859,0.002566527083614751
90,0,0,3,3.7,8,1,0,2.1972245773362196,45.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.000675401864109145,0.002566527083614751
200,0,0,4,3.7,5,1,0,1.791759469228055,100.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.009590706470349859,0.002566527083614751
150,0,0,4,4.1,12,1,0,2.5649493574615367,75.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02944752127515872,0.002566527083614751
100,0,0,4,3.1,9,1,0,2.302585092994046,50.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.025935431581791166,0.002566527083614751
60,0,0,3,3.6,9,2,1,2.302585092994046,30.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0010806429825746318,0.002566527083614751
100,0,0,4,4.3,29,2,1,3.4011973816621555,50.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00796974199648791,0.002566527083614751
230,0,0,4,4.2,17,1,0,2.8903717578961645,115.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.001756044846683777,0.002566527083614751
100,0,0,4,3.6,5,2,1,1.791759469228055,50.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00013508037282182898,0.002566527083614751
150,0,0,4,4.0,10,2,1,2.3978952727983707,75.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03647170066189383,0.002566527083614751
240,0,0,4,3.2,6,1,0,1.9459101490553132,120.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.006483857895447791,0.002566527083614751
230,0,0,4,4.9,30,1,0,3.4339872044851463,115.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.001756044846683777,0.002566527083614751
350,0,0,4,3.3,8,1,0,2.1972245773362196,175.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02944752127515872,0.002566527083614751
50,0,0,2,3.6,9,2,1,2.302585092994046,25.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03647170066189383,0.002566527083614751
140,0,0,4,4.0,7,3,1,2.0794415416798357,70.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.006483857895447791,0.002566527083614751
100,0,0,4,4.8,29,2,1,3.4011973816621555,50.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.016749966229906793,0.002566527083614751
60,0,0,3,4.7,24,2,1,3.2188758248682006,30.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0010806429825746318,0.002566527083614751
90,0,0,3,4.5,29,3,1,3.4011973816621555,45.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.007834661623666082,0.002566527083614751
170,0,0,4,4.2,11,1,0,2.4849066497880004,85.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0031068485749020667,0.002566527083614751
60,0,0,3,4.8,19,1,0,2.995732273553991,30.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.014453599891935702,0.002566527083614751
100,0,0,4,4.9,40,2,1,3.713572066704308,50.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
90,0,0,3,4.6,21,4,1,3.091042453358316,45.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
120,0,0,4,4.9,49,2,1,3.912023005428146,60.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
170,0,0,4,4.6,21,1,0,3.091042453358316,85.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
90,0,0,3,4.3,14,1,0,2.70805020110221,45.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
150,0,0,4,4.0,5,1,0,1.791759469228055,75.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02944752127515872,0.002566527083614751
250,0,0,4,4.6,25,1,0,3.258096538021482,125.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.009590706470349859,0.002566527083614751
120,0,0,4,4.4,13,3,1,2.639057329615259,60.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.058354721059030126,0.002566527083614751
40,0,0,2,4.2,7,1,0,2.0794415416798357,20.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
250,0,0,4,4.2,8,2,1,2.1972245773362196,125.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
300,0,0,4,4.7,44,1,0,3.8066624897703196,150.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
85,0,0,3,4.6,24,2,1,3.2188758248682006,42.5,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
80,0,0,3,4.3,10,2,1,2.3978952727983707,40.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.002566527083614751
250,0,0,4,4.5,49,2,1,3.912023005428146,125.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02944752127515872,0.0022963663379710927
250,0,0,4,4.4,17,2,1,2.8903717578961645,125.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.001756044846683777,0.0022963663379710927
70,0,0,3,3.1,5,1,0,1.791759469228055,35.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0067540186410914495,0.0022963663379710927
100,0,0,4,4.1,15,1,0,2.772588722239781,50.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.0022963663379710927
300,0,0,4,4.8,59,2,1,4.0943445622221,150.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.007834661623666082,0.0022963663379710927
120,0,0,4,4.6,30,3,1,3.4339872044851463,60.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0018911252195056058,0.0022963663379710927
75,0,0,3,3.9,5,2,1,1.791759469228055,37.5,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.0022963663379710927
200,0,0,4,3.4,73,1,0,4.304065093204169,100.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0018911252195056058,0.0022963663379710927
120,0,0,4,3.5,9,2,1,2.302585092994046,60.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.001756044846683777,0.0022963663379710927
300,0,0,4,4.3,39,3,1,3.6888794541139363,150.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.0022963663379710927
230,0,0,4,3.9,12,1,0,2.5649493574615367,115.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.001756044846683777,0.0022963663379710927
120,0,0,4,4.3,68,2,1,4.23410650459726,60.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00013508037282182898,0.0022963663379710927
150,0,0,4,4.3,46,2,1,3.8501476017100584,75.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.0022963663379710927
400,0,0,4,4.4,37,1,0,3.6375861597263857,200.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02944752127515872,0.0022963663379710927
100,0,0,4,4.4,22,2,1,3.1354942159291497,50.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.0022963663379710927
70,0,0,3,4.6,58,3,1,4.07753744390572,35.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.002431446710792922,0.0022963663379710927
120,0,0,4,4.1,11,2,1,2.4849066497880004,60.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0031068485749020667,0.0022963663379710927
25,0,0,2,3.3,35,3,1,3.58351893845611,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.002431446710792922,0.00270160745643658
10,0,0,1,3.3,25,2,1,3.258096538021482,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
0,0,0,1,3.4,34,1,0,3.5553480614894135,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001215723355396461,0.00270160745643658
0,0,0,1,3.4,45,1,0,3.828641396489095,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
10,0,0,1,3.4,26,2,1,3.295836866004329,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001215723355396461,0.00270160745643658
0,0,0,1,3.4,36,1,0,3.6109179126442243,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001215723355396461,0.00270160745643658
10,0,0,1,3.5,67,1,0,4.219507705176107,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.06470349858165608,0.00270160745643658
10,0,0,1,3.9,141,3,1,4.955827057601261,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.009725786843171687,0.00270160745643658
25,0,0,2,3.7,147,3,1,4.997212273764115,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.025935431581791166,0.00270160745643658
70,0,0,4,3.5,51,3,1,3.9512437185814275,35.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001756044846683777,0.00270160745643658
25,0,0,2,3.6,88,3,1,4.48863636973214,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.08212886667567203,0.00270160745643658
10,0,0,1,3.8,153,1,0,5.0369526024136295,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.08212886667567203,0.00270160745643658
10,0,0,1,3.9,160,1,0,5.081404364984463,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001215723355396461,0.00270160745643658
25,0,0,2,3.5,57,3,1,4.060443010546419,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,3.5,58,2,1,4.07753744390572,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
40,0,0,3,3.6,115,3,1,4.7535901911063645,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.009590706470349859,0.00270160745643658
40,0,0,3,3.5,51,3,1,3.9512437185814275,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.009590706470349859,0.00270160745643658
40,0,0,3,3.8,250,3,1,5.5254529391317835,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.006483857895447791,0.00270160745643658
10,0,0,1,3.7,117,2,1,4.770684624465665,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.02944752127515872,0.00270160745643658
10,0,0,1,3.4,20,3,1,3.044522437723423,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
20,0,0,2,3.5,25,2,1,3.258096538021482,10.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0010806429825746318,0.00013508037282182898
40,0,0,3,4.5,1821,3,1,7.507690077819904,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
10,0,0,1,4.5,849,1,0,6.745236349484362,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.000675401864109145,0.00270160745643658
10,0,0,1,4.6,917,1,0,6.822197390620491,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
10,0,0,1,3.9,439,2,1,6.0867747269123065,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.009590706470349859,0.00270160745643658
10,0,0,1,3.7,289,3,1,5.66988092298052,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0032419289477238957,0.00270160745643658
10,0,0,1,4.3,558,2,1,6.326149473155099,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0032419289477238957,0.00270160745643658
10,0,0,1,4.2,613,3,1,6.419994928147142,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.0,353,3,1,5.869296913133774,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.1,387,3,1,5.961005339623274,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
40,0,0,3,4.3,755,1,0,6.628041376179533,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
10,0,0,1,4.2,800,3,1,6.68586094706836,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001756044846683777,0.00270160745643658
10,0,0,1,4.1,350,1,0,5.860786223465865,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.000675401864109145,0.00270160745643658
40,0,0,3,4.1,464,1,0,6.142037405587356,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.02944752127515872,0.00270160745643658
25,0,0,2,4.2,550,3,1,6.311734809152915,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.009725786843171687,0.00270160745643658
10,0,0,1,4.1,543,2,1,6.298949246855942,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
40,0,0,3,4.1,465,2,1,6.144185634125646,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001756044846683777,0.00270160745643658
10,0,0,1,4.4,546,1,0,6.304448802421981,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0010806429825746318,0.00270160745643658
10,0,0,1,4.4,1098,3,1,7.002155954403621,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.02944752127515872,0.00270160745643658
25,0,0,2,4.2,579,2,1,6.363028103540465,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.014453599891935702,0.00270160745643658
10,0,0,1,4.1,374,3,1,5.926926025970411,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.016749966229906793,0.00270160745643658
40,0,0,3,4.6,717,2,1,6.576469569048224,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.08212886667567203,0.00270160745643658
40,0,0,3,4.9,548,3,1,6.3080984415095305,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.5,631,3,1,6.448889394146858,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001756044846683777,0.00270160745643658
10,0,0,1,3.9,372,3,1,5.921578419643816,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.016749966229906793,0.00270160745643658
25,0,0,2,3.9,201,2,1,5.308267697401205,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
40,0,0,3,3.8,332,2,1,5.808142489980444,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0032419289477238957,0.00270160745643658
25,0,0,2,3.5,304,1,0,5.720311776607412,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.002431446710792922,0.00270160745643658
40,0,0,3,4.3,368,1,0,5.910796644040527,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.1,430,3,1,6.066108090103747,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.016749966229906793,0.00270160745643658
25,0,0,2,4.4,433,3,1,6.073044534100405,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.02944752127515872,0.00270160745643658
10,0,0,1,4.0,380,1,0,5.942799375126701,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
25,0,0,2,4.0,456,3,1,6.124683390894205,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0010806429825746318,0.00270160745643658
40,0,0,3,4.2,647,3,1,6.473890696352274,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
40,0,0,3,4.0,360,1,0,5.8888779583328805,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001756044846683777,0.00270160745643658
25,0,0,2,4.0,227,1,0,5.429345628954441,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0067540186410914495,0.00270160745643658
25,0,0,2,3.9,290,1,0,5.673323267171493,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0005403214912873159,0.00270160745643658
10,0,0,1,4.1,270,1,0,5.602118820879701,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00040524111846548696,0.00270160745643658
25,0,0,2,4.0,326,2,1,5.7899601708972535,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.014453599891935702,0.00270160745643658
35,0,0,3,4.3,317,1,0,5.762051382780177,17.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.003917330811833041,0.00270160745643658
10,0,0,1,4.2,300,1,0,5.707110264748875,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
20,0,0,2,3.2,21,1,0,3.091042453358316,10.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00040524111846548696,0.00013508037282182898
20,0,0,2,4.6,237,2,1,5.472270673671475,10.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.025935431581791166,0.00013508037282182898
25,0,0,2,4.5,879,2,1,6.779921907472252,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.6,615,2,1,6.423246963533519,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.02944752127515872,0.00270160745643658
25,0,0,2,4.5,879,2,1,6.779921907472252,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0032419289477238957,0.00270160745643658
70,0,0,4,3.9,379,3,1,5.940171252720432,35.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
10,0,0,1,4.3,303,2,1,5.717027701406222,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00810482236930974,0.00270160745643658
70,0,0,4,4.1,538,2,1,6.289715570908998,35.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0009455626097528029,0.00270160745643658
10,0,0,1,4.2,334,3,1,5.814130531825066,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.3,555,2,1,6.320768294250582,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
10,0,0,1,4.4,823,2,1,6.714170529909472,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.1,550,1,0,6.311734809152915,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.025935431581791166,0.00270160745643658
25,0,0,2,4.4,650,2,1,6.478509642208569,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
10,0,0,1,4.3,410,1,0,6.018593214496234,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.025935431581791166,0.00270160745643658
10,0,0,1,4.4,660,1,0,6.493753839851687,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
25,0,0,2,4.4,360,3,1,5.8888779583328805,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.02944752127515872,0.00270160745643658
40,0,0,3,4.0,340,2,1,5.831882477283517,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.001756044846683777,0.00270160745643658
25,0,0,2,4.1,393,3,1,5.976350909297934,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.009590706470349859,0.00270160745643658
10,0,0,1,4.3,422,1,0,6.0473721790462776,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0032419289477238957,0.00270160745643658
40,0,0,3,4.0,435,1,0,6.077642243349034,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.002431446710792922,0.00270160745643658
25,0,0,2,4.0,369,3,1,5.91350300563827,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
40,0,0,3,4.4,487,1,0,6.1903154058531475,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
40,0,0,3,3.7,98,3,1,4.59511985013459,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
40,0,0,3,4.1,365,2,1,5.902633333401366,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.02944752127515872,0.00270160745643658
10,0,0,1,4.1,190,1,0,5.25227342804663,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.00796974199648791,0.00270160745643658
40,0,0,3,4.1,429,3,1,6.063785208687608,20.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.4,430,3,1,6.066108090103747,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03647170066189383,0.00270160745643658
25,0,0,2,4.2,186,1,0,5.231108616854587,12.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0067540186410914495,0.00270160745643658
10,0,0,1,4.2,220,3,1,5.3981627015177525,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.08212886667567203,0.00270160745643658
10,0,0,1,4.2,347,1,0,5.8522024797744745,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.08212886667567203,0.00270160745643658
